Compound,A-1,A-2,B-1,B-2,C-1,C-2,D-1,D-2,E-1,E-2,F-1,F-2,G-1,G-2,H-1,H-2,I-1,I-2
176,3.16E-05,2.95E-05,2.90E-05,3.70E-05,2.20E-05,4.47E-05,0,0,0,0,0,0,0,0,0.000230367,0,0,0
177,1.42E-05,1.47E-05,2.10E-05,2.12E-05,1.49E-05,1.81E-05,0.000112528,0.000132481,0.000130749,8.41E-05,5.42E-05,0.000109125,0.000109568,0.000110604,9.59E-05,4.27E-05,3.65E-05,0.00012536
178,0.000104419,0.000127954,0.00011279,0.000105022,6.85E-05,0.000131654,0.000112506,6.31E-05,9.09E-05,7.63E-05,0.000105946,7.79E-05,0.000105945,8.31E-05,9.96E-05,0.000107063,1.72E-05,0.000100125
179,0.000121424,9.43E-05,0.000100609,0.000109292,9.83E-05,0.000110664,0,7.33E-06,0,3.06E-05,7.90E-06,0,0,0,2.36E-05,0,0,4.66E-06
180,5.60E-05,4.53E-05,5.84E-05,5.18E-05,2.80E-05,5.09E-05,8.59E-05,1.81E-05,5.64E-05,3.67E-05,4.90E-05,3.90E-05,5.36E-05,1.62E-05,1.14E-05,4.05E-05,1.08E-05,5.02E-05
181,9.66E-05,6.38E-05,0.000112305,7.35E-05,3.14E-05,0.000108703,0,0,0,0,0,0,1.92E-05,0,8.70E-06,0,0,0
182,7.19E-05,5.31E-05,6.78E-05,5.99E-05,5.25E-05,6.38E-05,9.22E-05,2.34E-05,4.01E-05,5.34E-05,4.47E-05,1.31E-05,3.74E-05,3.70E-05,3.44E-05,5.55E-05,4.14E-05,4.70E-05
183,2.71E-05,2.77E-05,2.92E-05,2.96E-05,1.07E-05,2.80E-05,9.33E-05,6.95E-05,6.87E-05,2.14E-05,0.000103175,9.22E-05,4.46E-05,7.42E-05,0.000106067,1.69E-05,7.15E-05,5.85E-05
184,5.06E-05,6.75E-05,8.23E-05,3.57E-05,4.58E-05,5.62E-05,4.94E-05,5.56E-05,5.63E-05,6.31E-06,8.10E-06,3.26E-05,4.04E-05,4.58E-05,6.76E-05,8.70E-06,6.97E-06,5.81E-05
185,8.86E-06,8.93E-06,6.25E-06,4.80E-06,1.12E-05,7.44E-06,1.44E-06,0,0,9.75E-07,8.64E-07,5.08E-07,1.01E-06,0,2.50E-05,1.17E-06,0,0
186,9.96E-05,4.66E-05,6.33E-05,8.30E-05,2.67E-05,5.32E-05,0,0,0,2.68E-06,2.81E-06,1.20E-06,0,0,1.65E-05,2.26E-06,1.97E-06,0
187,0.000215047,0.000244422,0.000279547,0.000207065,0.000145311,0.000275473,0.000742604,0.000474546,0.000433962,0.000346383,0.000760215,0.000356289,0.000493948,0.000887633,0.000606618,0.000342084,0.000619485,0.000493486
188,3.51E-06,9.68E-06,0,6.79E-06,0,7.70E-06,4.32E-05,4.64E-05,9.75E-06,3.49E-05,3.76E-05,7.53E-06,3.74E-05,1.49E-05,1.80E-06,2.44E-05,0,3.80E-05
189,5.78E-06,7.55E-06,7.70E-06,8.20E-06,0,4.75E-06,1.55E-05,2.59E-06,1.85E-06,9.00E-06,2.79E-06,3.33E-06,9.37E-06,6.82E-06,0.000219096,5.58E-06,4.45E-06,5.67E-06
190,2.30E-05,4.35E-05,3.70E-05,2.94E-05,1.04E-05,3.65E-05,6.80E-05,4.60E-05,1.44E-05,3.00E-05,2.24E-05,3.15E-05,4.46E-05,5.62E-05,2.83E-05,1.56E-05,7.04E-06,1.18E-05
191,5.74E-05,5.37E-05,5.24E-05,7.72E-05,3.28E-05,7.75E-05,8.83E-05,2.52E-05,5.07E-05,6.26E-05,4.31E-05,4.34E-05,5.82E-05,3.71E-05,5.25E-05,3.31E-05,2.55E-05,6.47E-05
192,0,0,0,0,0,0,1.78E-05,1.78E-05,7.96E-06,1.56E-06,5.32E-06,0,8.89E-06,1.40E-05,0,0,1.09E-05,7.42E-06
193,0.000218943,0.000212824,0.000204183,0.000271412,0.000201986,0.000310459,0.000291054,8.92E-05,0.000139349,0.000159789,0.000162134,0.000120769,0.000212265,7.95E-05,0.000112594,0.000173318,0.000124421,0.000184097
194,4.43E-05,4.63E-05,1.30E-05,7.22E-05,1.68E-05,2.49E-05,0,0,0,0,0,0,0,0,3.13E-05,0,0,0
195,0,0,0,1.33E-06,0,0,8.17E-05,4.28E-05,3.55E-05,5.57E-05,3.87E-05,2.78E-05,5.56E-05,3.43E-05,0,5.31E-05,4.17E-05,4.82E-05
196,5.73E-05,2.69E-05,2.98E-05,2.24E-05,0,3.95E-05,5.37E-05,4.76E-05,1.97E-05,5.69E-05,5.77E-05,1.77E-05,6.63E-05,2.93E-05,3.03E-05,6.70E-05,4.70E-05,3.05E-05
197,1.69E-05,0.000110611,1.57E-05,8.36E-05,1.75E-05,4.32E-05,0,0,0,0,0,0,0,0,2.99E-06,0,0,0
198,0.000115158,8.90E-05,2.43E-05,9.22E-05,5.76E-05,8.33E-05,4.56E-05,2.12E-05,1.47E-05,2.83E-05,2.45E-05,1.78E-05,2.96E-05,1.08E-05,1.83E-05,3.91E-05,1.23E-05,1.67E-05
199,0.002602913,0.00210504,0.002286764,0.002520691,0.001549952,0.001680879,0.003167362,0.002271604,0.001592428,0.003301148,0.002413017,0.001380461,0.003152107,0.00290037,0.001876978,0.003721148,0.001655859,0.002323418
200,1.45E-05,8.04E-06,4.66E-06,2.89E-05,2.25E-05,2.53E-05,4.33E-05,1.06E-05,1.51E-05,5.10E-06,6.79E-06,4.35E-06,2.94E-05,1.26E-05,1.88E-05,6.02E-06,4.51E-06,3.67E-06
201,0,0,0,0,0,0,3.92E-05,1.91E-05,1.38E-05,2.63E-05,1.55E-05,9.88E-06,1.40E-05,1.69E-05,0,1.75E-05,2.05E-05,1.50E-05
202,6.90E-06,7.69E-06,8.29E-06,9.72E-06,5.02E-06,7.75E-06,1.97E-05,6.84E-06,5.98E-06,7.56E-06,1.01E-05,4.30E-06,1.90E-05,0,8.23E-06,3.08E-06,4.54E-06,1.02E-05
203,0,0,4.57E-06,0,0,0,0.00048262,0.000141446,0.000202514,0.000215527,0.000234574,0.000138252,0.00028662,5.63E-05,0,0.000249905,0.00028651,0.000238044
204,3.91E-05,2.66E-05,3.12E-05,3.44E-05,3.88E-05,3.24E-05,5.56E-05,4.88E-06,3.05E-05,2.12E-05,3.47E-05,1.89E-05,3.87E-05,3.65E-06,2.17E-05,2.24E-05,3.61E-05,2.90E-05
205,0,0,0,0,0,0,0.000310707,0.000154356,0.000223197,0.000155425,0.000117322,6.21E-05,0.000176412,0.000106223,0,0.000181992,9.90E-05,0.000116542
206,2.52E-05,1.34E-05,1.95E-05,1.41E-05,1.53E-05,1.41E-05,4.07E-06,1.96E-05,1.82E-06,0,0,0,0,0,3.42E-06,0,0,0
