Compound,A-1,A-2,B-1,B-2,C-1,C-2,D-1,D-2,E-1,E-2,F-1,F-2,G-1,G-2,H-1,H-2,I-1,I-2
1,4.08E-06,3.48E-05,0,1.17E-05,1.88E-05,0,7.89E-05,3.10E-05,3.23E-05,9.92E-05,7.72E-05,5.25E-05,0.000112058,5.91E-05,2.36E-06,4.43E-05,1.78E-05,3.40E-05
2,0,0,2.95E-06,0,0,0,6.97E-06,0.000481663,5.12E-06,0.000179019,2.71E-06,6.90E-06,9.84E-06,0.000108964,0,3.92E-05,3.27E-06,3.29E-06
3,0,0,0,0,0,0,0.000548583,0.000306253,0.000335718,9.91E-05,0.000307221,0.000239629,0.0003067,4.10E-05,0,0.000321863,0.000424159,0.000392623
4,0.000160403,0.000116002,0.000117741,0.000147245,8.64E-05,0.000122587,0.000307079,0.000121675,0.000107733,0.000183864,0.000129384,8.56E-05,0.000238996,0.000111824,0.0001651,0.000219215,0.000116971,0.000130093
5,6.25E-05,0.000137982,0.000147152,0,0,0,0,0,0,0.000579168,0.000477793,0.000407817,0,0,2.20E-05,0.000214166,0.000306288,0.000450875
6,0.00053301,0.000426542,0.000595777,0.000736601,0.002022805,0.000711542,9.82E-05,6.22E-05,4.75E-05,8.38E-05,4.27E-05,4.88E-05,5.03E-05,4.62E-05,7.61E-05,0.000102746,6.37E-05,5.20E-05
7,0,0,0,0,0,0,1.81E-05,1.20E-05,8.18E-06,1.45E-05,9.97E-06,9.59E-06,1.70E-05,1.19E-05,0,1.11E-05,1.17E-05,6.73E-06
8,6.27E-06,4.99E-06,4.77E-06,0,1.88E-06,6.96E-06,4.36E-06,3.34E-06,5.17E-06,5.53E-06,4.91E-06,1.72E-06,0,0,4.48E-06,2.70E-06,2.24E-06,0
9,1.07E-05,1.83E-05,2.87E-05,6.87E-06,1.54E-05,2.20E-05,5.21E-06,0,2.60E-06,0,2.07E-06,4.33E-06,0,0,7.66E-07,0,0,0
10,3.53E-05,2.17E-05,2.65E-05,2.81E-05,2.71E-05,2.47E-05,8.45E-05,2.38E-05,2.80E-05,4.37E-05,2.56E-05,1.47E-05,5.64E-05,1.73E-05,3.34E-05,4.34E-05,2.23E-05,2.63E-05
11,2.39E-05,1.94E-05,2.53E-05,2.56E-05,1.96E-05,2.38E-05,1.71E-05,9.86E-06,9.62E-06,6.98E-06,1.41E-05,4.96E-06,1.43E-05,7.15E-06,6.27E-06,1.02E-05,1.24E-05,1.53E-05
12,2.88E-05,1.78E-05,3.80E-06,1.22E-05,0,5.28E-06,0,0,0,0,0,0,0,0,8.12E-07,0,0,0
13,3.05E-05,0,2.14E-05,0,3.33E-05,3.74E-05,0,0,4.85E-06,0,1.05E-05,1.03E-05,0,0,1.30E-05,0,0,6.51E-06
14,6.65E-05,8.19E-05,2.57E-05,6.30E-05,8.01E-05,0.000129034,3.58E-05,4.05E-06,1.18E-05,1.21E-05,1.10E-05,8.01E-06,3.00E-05,0,9.67E-06,2.47E-05,2.02E-05,1.10E-05
15,1.54E-05,1.55E-05,2.51E-05,2.12E-05,1.12E-05,2.92E-05,0,0,0,0,0,0,0,0,1.49E-07,0,0,0
16,1.73E-05,1.97E-05,3.02E-06,2.64E-05,1.24E-05,1.32E-05,4.58E-06,1.47E-05,2.01E-06,1.16E-05,2.31E-06,1.30E-06,2.00E-06,3.46E-06,1.98E-06,7.49E-06,1.71E-06,2.82E-06
17,2.67E-06,1.66E-06,8.06E-06,2.36E-06,4.10E-06,5.08E-06,2.50E-06,0,9.74E-07,2.84E-06,1.76E-06,2.70E-06,1.61E-06,0,1.94E-05,1.45E-06,1.05E-06,0
18,9.02E-05,0.000105357,0.000113517,9.09E-05,8.38E-05,0.000108528,0.000198536,6.96E-05,7.00E-05,0.000130007,0.000154887,7.73E-05,0.000108797,4.39E-05,9.20E-05,0.000125691,0.00014729,0.00012486
19,7.81E-06,3.55E-06,7.56E-06,8.80E-06,3.03E-06,8.92E-06,0,0,0,0,0,0,0,0,4.78E-05,0,0,0
20,4.17E-05,0.000102772,0.00014015,4.20E-05,8.01E-05,0.000154067,5.82E-05,7.49E-05,0.000124362,3.24E-05,9.18E-05,6.11E-05,3.75E-05,7.12E-05,0.00012859,3.84E-05,6.22E-05,0.000119757
21,0.000837169,0.000989955,0.00076794,0.000780334,0.000597282,0.000788155,0.001237636,0.000644211,0.000489804,0.000762242,0.000736474,0.000386191,0.000888232,0.000620813,0.000613147,0.000756269,0.000696351,0.000578644
22,2.53E-05,0,3.42E-05,5.98E-05,4.71E-05,7.75E-05,0.000186084,9.97E-05,8.15E-05,6.63E-05,4.98E-05,4.93E-05,0.000134869,1.76E-05,0.000871978,9.08E-05,2.13E-05,6.94E-05
23,3.50E-05,3.30E-05,2.77E-05,2.66E-05,1.96E-05,3.59E-05,5.13E-05,1.41E-05,2.04E-05,3.49E-05,2.41E-05,1.73E-05,3.23E-05,1.96E-05,2.86E-05,3.55E-05,2.07E-05,1.87E-05
24,9.23E-06,4.43E-06,1.26E-05,1.14E-05,3.31E-06,1.09E-05,0,0,0,0,0,0,0,0,5.64E-06,0,0,0
25,4.39E-06,7.02E-06,5.77E-06,3.30E-06,4.83E-06,8.36E-06,9.26E-06,1.06E-05,6.91E-06,5.85E-06,5.79E-06,7.02E-06,4.93E-06,6.56E-06,4.80E-06,4.59E-06,9.45E-06,6.30E-06
26,3.72E-05,4.04E-05,4.70E-05,5.91E-05,4.37E-05,2.11E-05,0.000197693,0.000100633,0,0.000186928,0.000115735,8.14E-05,0.000137257,0.000125516,1.63E-05,0.000174475,9.50E-05,1.43E-05
27,1.75E-05,1.38E-05,1.52E-05,1.69E-05,1.86E-05,1.67E-05,2.76E-06,2.40E-06,2.00E-06,9.73E-06,1.87E-06,1.76E-06,2.38E-06,0,1.67E-06,3.03E-06,1.96E-06,0
28,6.78E-05,8.49E-05,8.28E-05,7.54E-05,8.05E-05,9.05E-05,6.20E-05,2.02E-05,3.28E-05,0,3.18E-05,2.85E-05,3.95E-05,1.96E-05,8.48E-06,3.27E-05,3.19E-05,3.35E-05
29,9.98E-06,6.80E-06,9.84E-06,1.97E-05,1.83E-05,2.43E-05,2.03E-05,8.38E-06,7.27E-06,1.66E-05,8.45E-06,8.13E-06,1.75E-05,7.07E-06,1.77E-06,1.33E-05,5.29E-06,1.03E-05
30,0.000380592,0.000142158,0.00034061,0.000420126,0.000197796,0.000372868,9.22E-05,7.87E-06,2.79E-05,5.66E-05,5.30E-05,3.15E-05,1.56E-05,1.15E-05,2.47E-05,0.000102153,5.48E-05,5.79E-05
31,0.000143849,0.000184616,0.000165396,0.000109987,0.00011963,0.000251247,0.000117041,0.000112547,0.000157981,0.000105328,0.000170229,0.000123286,8.67E-05,0.000107547,7.90E-05,8.56E-05,0.000135194,0.000116975
32,0.000365627,0.000465198,0.000494078,0,0,0,0,0,4.80E-05,5.24E-06,0.000742872,6.22E-06,0,0,0.000229395,3.95E-06,0,6.39E-06
33,3.08E-05,6.43E-05,0.000133001,3.94E-06,4.90E-05,0.000160883,1.33E-05,2.55E-05,0.000141848,0.000100616,9.95E-05,1.99E-05,7.42E-05,2.79E-05,0.000186238,0.000102232,4.66E-05,0.000164046
34,2.53E-05,2.75E-05,5.51E-05,3.89E-05,4.08E-05,6.14E-05,7.15E-05,2.92E-05,4.48E-05,4.72E-05,4.55E-05,3.67E-05,5.14E-05,3.62E-05,5.80E-05,4.58E-05,4.44E-05,4.97E-05
35,0.000321166,0.000278567,0.00033711,0.000318688,0.00025021,0.000338054,0.000182938,6.40E-05,9.05E-05,0.000105129,8.00E-05,7.76E-05,9.93E-05,4.77E-05,6.98E-05,3.12E-05,7.85E-05,9.66E-05
36,0.000628529,0.000772701,0.000990766,0.000819352,0.000682875,0.000919125,0.001090272,0.000739979,0.000631824,0.000847967,0.000598245,0.000552646,0.000588292,0.000614812,0.000681316,0.000747051,0.000492048,0.00094667
37,3.84E-06,0,0,6.16E-06,0,0,8.27E-06,7.29E-06,3.43E-06,0,0,3.02E-06,6.11E-06,0,1.04E-05,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2.35E-05,9.40E-06,9.72E-06,2.50E-05,2.29E-05,5.23E-05,5.27E-05,2.87E-05,2.68E-05,3.43E-05,3.80E-05,1.69E-05,4.39E-05,3.15E-05,2.22E-05,3.40E-05,2.35E-05,2.40E-05
40,0,0,0,6.34E-06,5.20E-06,4.25E-06,1.94E-05,1.49E-05,9.00E-06,1.28E-05,1.19E-05,8.82E-06,1.25E-05,1.42E-05,0,1.15E-05,1.16E-05,1.21E-05
41,0.000120905,6.89E-05,0.000133258,0.000107708,7.23E-05,0.000156159,0.00023642,0.000104493,9.86E-05,0.00013779,9.17E-05,6.97E-05,0.000107691,7.66E-05,0.000124859,0.000129612,6.25E-05,0.000114205
42,9.86E-05,6.98E-05,7.93E-05,8.46E-05,0.010879091,7.37E-05,2.48E-05,3.20E-05,3.98E-05,3.69E-05,2.83E-05,1.71E-05,1.64E-05,2.70E-05,2.17E-05,2.52E-05,2.06E-05,2.69E-05
43,1.47E-05,6.99E-06,1.54E-05,5.76E-06,6.70E-06,1.50E-05,1.26E-05,8.05E-06,8.16E-06,5.29E-06,7.42E-06,5.32E-06,6.59E-06,1.10E-05,1.19E-05,1.08E-05,8.04E-06,1.46E-05
44,0,0,0,0,0,0,4.49E-05,7.55E-06,3.01E-05,0,3.11E-06,5.18E-06,1.53E-05,2.18E-05,0,0,3.16E-06,3.28E-06
45,0,0,0,0,0,0,0.000101821,5.87E-05,6.19E-05,4.57E-05,0,6.23E-05,6.46E-05,4.40E-05,0,3.07E-05,8.50E-05,2.35E-05
46,0.000134634,0.000140282,0.00010443,8.96E-05,6.59E-05,7.85E-05,0,0,0,0,0,0,0,0,1.34E-05,0,0,0
47,0.001036035,0.00068476,0.000706796,0.000672243,0.00035803,0.000686458,0.000920777,0.000348745,0.00041647,0.000985336,0.000516033,0.000332556,0.000884043,0.00049501,0.000494371,0.000208127,0.000490567,0.000131963
48,0,0,0,0,0,0,4.62E-05,3.14E-05,2.30E-05,2.36E-05,3.35E-05,2.57E-05,2.52E-05,2.63E-05,0,2.39E-05,2.40E-05,3.06E-05
49,0.000184202,0.000241438,6.96E-05,0.000156661,1.74E-05,0.000151796,0.000209836,3.54E-05,6.07E-05,1.04E-05,6.51E-05,2.21E-05,0.000154614,1.02E-05,4.94E-05,0.000124939,0.00014581,8.64E-05
50,0.000127518,0.000215085,8.72E-05,9.34E-05,0.000115528,0.000109597,0.000359007,0.000120045,0.00013712,0.000183947,0.000221191,0.000205608,0.000160647,1.39E-05,0.000256555,0.000103891,9.71E-05,0.000278591
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0.000925766,0.000978056,0.001399963,0.001096199,0.000759211,0.001521468,0.002001915,0.000384504,0.000781304,0.001525347,0.000864352,0.000684156,0.001486439,0.000727356,0.000899374,0.001690092,0.000739525,0.00069935
53,8.61E-05,8.06E-05,5.87E-05,7.97E-05,5.55E-05,7.43E-05,1.98E-06,0,0,0,0,0,2.48E-06,0,0.000199272,2.63E-06,0,0
54,7.59E-06,4.49E-06,4.96E-06,1.38E-05,0,4.00E-06,0,0,0,0,0,0,0,0,8.02E-06,0,0,0
55,0.000123735,0,0.000121391,8.94E-05,3.03E-05,0.000109642,0,0,0,0,0,0,0,0,1.99E-05,0,0,0
56,1.03E-05,1.00E-05,1.57E-05,1.07E-05,4.26E-06,1.29E-05,3.10E-05,1.55E-05,1.60E-05,1.59E-05,1.44E-05,1.28E-05,1.29E-05,1.56E-05,1.57E-05,1.31E-05,1.10E-05,2.62E-05
57,8.82E-06,6.56E-06,1.07E-05,1.12E-05,0,1.77E-05,5.74E-05,2.92E-05,4.47E-05,1.43E-05,3.16E-05,3.76E-05,3.15E-05,4.02E-05,3.27E-05,2.78E-05,1.02E-05,4.47E-05
58,2.13E-05,2.93E-05,2.93E-05,1.63E-05,2.37E-05,2.21E-05,4.93E-05,1.75E-05,1.47E-05,2.16E-05,2.47E-05,1.60E-05,2.18E-05,9.57E-06,2.67E-05,1.65E-05,2.62E-05,1.50E-05
59,0.000159152,0.000207828,0.000197576,0.000101409,0.000144738,0.000136309,0.000376916,0.00014889,0.000143124,0.000159892,0.000189401,0.000122328,0.000183503,0.00011276,0.00019505,0.000116369,0.000189255,0.000148227
60,0.000617805,0.000390982,0.000521878,0.000933332,0.000638037,0.000825035,0.001610132,0.00062213,0.000537613,0.000891355,0.000514198,0.000399723,0.000994592,0.000405589,0.000460218,0.000640286,0.000549516,0.000401756
61,3.24E-05,1.32E-05,2.35E-05,5.35E-05,2.99E-05,5.36E-05,0.000119102,5.22E-05,4.59E-05,2.11E-05,1.88E-05,1.39E-05,8.57E-05,4.50E-05,6.47E-05,2.92E-05,1.44E-05,1.89E-05
62,0.002222205,0.001439781,0.003089836,0,0.001230456,0.003640424,0.00131403,0.000787929,0.001522144,0.001103303,0.001420505,0.001385527,0.001162479,0.001230327,0.000243567,0.000820019,0.000631514,0.002801538
63,0.000632553,0.000806122,0.00034138,0.000477973,0.000509174,0.000333229,0,0,0,0,0,0,0,0,1.45E-06,0,0,0
64,0.000442948,0.000186493,0.000292305,0.000219396,0.006764122,0.000237887,4.36E-05,4.93E-05,3.28E-05,0.000138305,0.000186686,0,0.000220845,6.67E-05,1.76E-05,0.000437083,0.000279377,7.74E-05
65,9.79E-05,9.27E-05,7.37E-05,0.000102091,5.16E-05,9.23E-05,2.64E-05,7.16E-06,1.28E-05,2.67E-05,2.00E-05,1.42E-05,2.35E-05,3.84E-06,8.17E-06,3.55E-05,1.53E-05,2.20E-05
66,0.000118886,3.98E-05,6.81E-05,8.16E-05,5.98E-05,0.000115283,5.82E-05,3.23E-05,3.23E-05,4.18E-05,5.39E-05,2.19E-05,4.06E-05,2.48E-05,3.48E-05,4.14E-05,3.21E-05,3.99E-05
67,2.82E-05,9.13E-06,2.58E-05,1.49E-05,9.55E-06,2.56E-05,2.79E-05,1.35E-05,1.17E-05,2.58E-05,1.29E-05,1.36E-05,1.55E-05,6.96E-06,1.54E-05,1.93E-05,1.68E-05,2.35E-05
68,0.000311872,0.000385711,0.00037621,0.000319376,0.000244176,0.000389013,0.000148399,0.000116591,8.88E-05,0.000154295,0.000126748,7.14E-05,8.37E-05,6.75E-05,7.11E-05,0.000144306,0.000105975,0.000102707
69,1.47E-05,6.99E-06,1.54E-05,5.76E-06,6.70E-06,1.50E-05,1.26E-05,8.05E-06,8.16E-06,5.29E-06,7.42E-06,5.32E-06,6.59E-06,1.10E-05,1.19E-05,1.08E-05,8.04E-06,1.46E-05
70,3.24E-06,4.13E-06,1.02E-05,5.64E-06,0,4.23E-06,5.15E-05,2.30E-06,2.78E-06,4.17E-06,3.05E-06,1.55E-06,2.06E-05,0,3.49E-06,2.77E-06,0,2.47E-06
71,7.17E-05,6.12E-05,3.39E-05,0.000076078,4.75E-05,6.94E-05,6.51E-05,1.51E-05,2.77E-05,2.95E-05,2.79E-05,2.52E-05,4.37E-05,1.22E-05,2.94E-05,4.38E-05,2.70E-05,2.88E-05
72,0.000111185,0.000133532,0.000299728,0.000131457,0.000442591,0.000176015,0.000156135,5.90E-05,0,0.000105288,8.81E-05,0.000106733,2.67E-05,5.09E-05,6.48E-05,7.98E-05,2.68E-05,9.70E-05
73,0,0,0,0,0,2.45E-06,2.77E-05,1.23E-05,1.26E-05,1.78E-05,1.40E-05,2.25E-05,2.23E-05,1.20E-05,0,1.52E-05,1.17E-05,1.81E-05
74,0.000177398,0.000138403,0.000165103,0.000175645,0.000349745,0.000203966,0.000604475,0.000288653,0.000264253,0.000311506,0.000228435,0.000181364,0.000480046,0.000245971,0.000395508,0.000297555,0.00018142,0.000231545
75,0,0,0,0,0,0,1.63E-05,7.18E-06,1.19E-05,2.66E-05,1.21E-05,1.08E-05,9.41E-07,4.53E-06,0,2.90E-05,4.66E-06,1.64E-05
76,0.000165774,0.000138383,0.00015099,0.000142795,0.000105072,0.000160515,0.000154577,0.000105936,5.31E-05,8.28E-05,5.94E-05,5.78E-05,0.000117788,6.64E-05,6.69E-05,4.68E-05,8.05E-05,9.13E-05
77,0.000452698,0.00032286,0.000371748,0.000305716,0.000371803,0.00018276,8.02E-05,0,2.78E-05,0,4.26E-05,0,0.000136662,0,2.75E-05,7.58E-05,0.000122587,0
78,0,0,0,0,0,0,0.000106876,5.61E-05,8.85E-05,4.75E-05,7.82E-05,3.43E-06,9.89E-05,8.04E-05,0,6.96E-05,5.56E-05,2.32E-05
79,0.001063353,0.001367292,0.000290728,0.001082408,0.000671664,0.002340653,0.000838595,0.001953752,0.001845942,0.001038653,0.00126836,0.001147941,0.000785175,0.001395262,0.000770508,0.000786256,0.001377868,0.000759806
80,2.58E-05,3.98E-05,2.25E-05,4.37E-05,3.80E-05,2.25E-05,2.80E-05,2.41E-05,5.07E-06,1.95E-05,1.27E-05,7.47E-06,2.43E-05,2.31E-05,2.90E-05,1.25E-05,1.59E-05,1.84E-05
81,0.000467612,0.00040609,0.000358537,0.000276005,0.000133169,0,0.000107455,0,0,1.02E-05,0,0,0,0,5.55E-07,0,0,0
82,9.44E-05,0.000140448,0.000121332,0.000365769,0.000818039,0.000364416,0.000321495,0.000151699,6.28E-05,0.000426378,0.000116593,9.16E-05,0.000191316,9.13E-05,8.41E-05,0.000299774,8.83E-05,0.000105472
83,0.001380943,0.001029182,0.001074907,0.001270671,0.000815351,0.001214124,0.007262002,0.000796175,0.000838462,0.001231024,0.000864859,0.001145762,0.001441452,0.000729259,0.000978616,0.001404084,0.000882823,0.000924531
84,0,2.26E-06,4.59E-06,0,5.67E-06,2.89E-06,0,0,8.36E-07,1.58E-06,2.72E-06,4.90E-07,0,7.64E-06,1.12E-05,1.23E-06,2.45E-06,1.42E-06
85,9.82E-05,8.65E-05,7.16E-05,9.83E-05,1.87E-05,2.39E-05,0.00010182,0.000102168,0,9.04E-05,2.73E-05,1.23E-05,6.69E-05,1.78E-05,8.59E-06,5.26E-05,4.54E-05,0
86,0.000116181,0.000453779,0.000453499,0.000291751,0.000350937,0.000764536,0,0.000125388,0.000186035,0.00014009,0.000198439,0.000190768,6.64E-05,3.13E-05,3.63E-06,2.69E-05,4.98E-05,0.000102511
87,0.000225895,0.000281579,0.000187621,0.000137982,0.000113976,0.000234105,0.000429569,0.000218331,0.000155576,0.000232758,0.000219146,0.000110333,0.000313587,0.000199418,0.000166284,0.000279931,0.000240338,0.000233246
88,0.000165774,0.000138383,0.00015099,0.000142795,0.000105072,0.000160515,0.000154577,0.000105936,5.31E-05,8.28E-05,5.94E-05,5.78E-05,0.000117788,6.64E-05,6.69E-05,4.68E-05,8.05E-05,9.13E-05
89,0,0,0,0,0,0,2.30E-05,1.26E-05,5.60E-06,0,0,0,1.56E-05,1.20E-05,0,0,0,0
90,9.70E-05,0.000153177,0.000141841,7.97E-05,8.36E-05,5.75E-05,7.27E-05,1.30E-05,0.000121197,7.54E-05,6.95E-05,5.10E-05,4.56E-05,9.89E-05,1.56E-05,4.16E-05,7.87E-05,0.000148628
91,3.29E-05,1.28E-05,3.28E-05,3.24E-05,1.77E-05,5.86E-05,0.000249852,2.77E-05,7.43E-05,8.06E-05,0.000100292,2.59E-05,0.000114648,0,3.93E-05,0.000109414,7.45E-05,5.42E-05
92,4.12E-05,0.000115992,0.000116645,9.80E-05,4.55E-05,6.61E-05,0.000170172,1.65E-05,1.69E-05,7.38E-05,7.09E-05,5.43E-05,1.23E-05,1.19E-05,3.10E-05,9.22E-05,8.80E-05,1.95E-05
93,3.62E-05,4.39E-05,4.57E-05,3.55E-05,4.01E-05,4.74E-05,3.50E-05,1.79E-05,3.36E-05,1.60E-05,2.44E-05,1.54E-05,2.13E-05,1.27E-05,3.86E-05,1.90E-05,1.45E-05,2.01E-05
94,1.53E-05,8.18E-06,9.39E-06,1.30E-05,1.54E-05,1.03E-05,0,1.65E-06,1.52E-06,0,0,0,1.93E-06,0,9.23E-06,0,0,0
95,0.000296163,9.59E-05,6.52E-05,0,0,0,0,0,0,0,0,0,0,0,6.64E-05,0,0,0
96,0.001532666,0.001590488,0.002514858,0.0016776,0.001352044,0.001958086,0.00154829,0.000598272,0.001111112,0.000965988,0.000843101,0.000695434,0.001035866,0.000376491,0.000843476,0.001002695,0.000879035,0.000866639
97,8.04E-06,7.72E-06,3.22E-06,3.68E-06,3.75E-06,4.84E-06,1.30E-05,7.27E-06,5.26E-06,6.51E-06,7.11E-06,5.08E-06,7.41E-06,8.00E-06,1.03E-05,3.99E-06,8.39E-06,5.80E-06
98,0,0,0,0,0,0,8.56E-05,4.00E-05,5.06E-05,5.85E-05,7.83E-05,4.75E-05,5.23E-05,4.92E-05,0,5.84E-05,5.43E-05,6.51E-05
99,0,0,0,0,0,0,0,0,0,0,0,0,4.60E-05,0,0,0,5.03E-05,0.000121482
100,0.000316078,0.000300342,0.000353992,0.000255034,0.000328117,0.000498605,0.000393332,0.000225167,0.000212381,0.000228714,0.000195253,0.000137401,0.000250693,0.000140044,0.000227554,0.00027178,0.000197409,0.000217343
101,0.000169374,0.000209989,0.00017764,0.000170528,8.15E-05,0.000196463,0.00024174,0.000122842,0.000116411,0.000146131,0.00014527,8.40E-05,0.000152246,0.000113452,8.23E-05,0.000131815,0.000137747,0.000146239
102,5.53E-05,5.37E-05,4.73E-05,6.43E-05,5.44E-05,6.48E-05,8.67E-05,4.23E-05,3.25E-05,5.84E-05,3.91E-05,2.73E-05,6.14E-05,4.16E-05,2.56E-05,5.05E-05,3.62E-05,3.65E-05
103,4.53E-05,0.000111413,3.07E-05,0.000100203,8.42E-05,0.000113167,0,0,0,0,0,0,0,0,1.34E-05,0,0,0
104,0.000140157,0.000136325,0.000238103,0.000142285,0.000117692,0.000311777,9.29E-05,4.40E-05,5.00E-05,0,0,0,5.14E-05,3.24E-05,8.34E-06,0,0,0
105,1.32E-05,9.95E-06,1.43E-05,2.98E-05,1.95E-05,3.60E-05,3.96E-05,1.84E-05,1.50E-05,1.91E-05,1.47E-05,9.65E-06,2.65E-05,1.31E-05,1.74E-05,1.97E-05,1.53E-05,1.57E-05
106,0.000293141,0.000229311,0.000181648,0.000357404,0.000168015,0.00027343,0.000184881,6.53E-05,9.68E-05,0.000122979,0.000124059,6.82E-05,0.000129335,6.34E-05,8.88E-05,0.000162645,6.23E-05,0.000124425
107,0.000116162,6.37E-05,0.000116352,9.76E-05,0.000101927,7.33E-05,4.93E-05,3.69E-05,4.30E-05,3.49E-05,2.73E-05,2.14E-05,4.70E-05,4.14E-05,2.57E-05,5.44E-05,2.45E-05,4.83E-05
108,1.77E-05,1.17E-05,1.17E-05,1.40E-05,9.14E-06,1.68E-05,4.36E-06,0,1.08E-06,1.15E-05,1.23E-06,1.17E-06,1.97E-06,0,9.50E-05,1.55E-05,1.49E-06,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,7.42E-06,1.07E-05,1.15E-05,1.11E-05,1.07E-05,0,3.03E-05,7.59E-06,1.32E-05,1.74E-05,1.63E-05,8.29E-06,1.86E-05,5.65E-06,4.65E-06,1.50E-05,1.40E-05,1.36E-05
111,6.64E-06,4.71E-06,8.84E-06,9.20E-06,6.50E-06,5.34E-06,0,4.33E-06,0,0,0,0,0,0,2.80E-05,0,0,0
112,6.31E-05,6.87E-05,8.06E-05,5.16E-05,4.96E-05,8.91E-05,8.18E-05,4.45E-05,4.77E-05,3.40E-05,5.88E-05,3.90E-05,5.26E-05,4.16E-05,5.21E-05,5.11E-05,4.90E-05,5.43E-05
113,0,0,0,0,0,0,9.06E-06,2.12E-05,6.60E-06,0,0,3.59E-06,9.04E-06,7.51E-06,0,0,0,1.80E-06
114,0.000512439,0.000603368,0.000696106,0.000538171,0.000450319,0.000783246,0.000538349,0.000196401,0.000276251,0.000569885,0.000127785,0.000293375,0.000410901,0.000343119,0.000337432,0.000448167,0.000489834,0.000397715
